trans_id,trans_date,supplier,department,amount,risk_type,risk_level,trigger_reason
TXN000504,2026-05-11 10:32:26,供应商K公司,市场部,20960.09,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000514,2026-01-13 22:40:00,供应商A公司,市场部,6463.65,异常时间,中,交易发生在周末或深夜（22:40）
TXN000543,2026-02-19 08:13:28,供应商T公司,行政部,20411.29,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000543,2026-02-19 08:13:28,供应商T公司,行政部,20411.29,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000546,2026-04-10 15:49:36,供应商L公司,技术部,7062.0,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000556,2026-01-07 22:41:00,供应商K公司,行政部,9609.41,异常时间,中,交易发生在周末或深夜（22:41）
TXN000562,2026-04-06 09:35:40,供应商C公司,财务部,70285.49,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000588,2026-01-13 15:10:02,供应商I公司,行政部,6769.11,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000589,2026-05-11 09:42:03,供应商K公司,技术部,25958.87,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000599,2026-03-30 13:56:13,供应商K公司,技术部,9363.42,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000603,2026-02-19 17:04:26,供应商T公司,财务部,26787.34,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000612,2026-01-23 17:49:38,供应商L公司,技术部,12778.67,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000640,2026-05-26 08:07:31,供应商M公司,技术部,4740.69,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000646,2026-01-14 09:55:59,供应商I公司,采购部,10740.97,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000648,2026-02-25 16:50:07,供应商T公司,采购部,12791.86,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000655,2026-03-13 08:50:18,供应商M公司,财务部,104682.56,金额异常,高,金额 104682.56 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000659,2026-01-13 12:57:15,供应商I公司,行政部,15653.78,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000665,2026-01-30 12:10:15,供应商F公司,财务部,754609.29,金额异常,高,金额 754609.29 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000673,2026-05-14 11:05:11,供应商K公司,市场部,10156.3,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000676,2026-06-02 13:05:26,供应商R公司,技术部,744087.66,金额异常,高,金额 744087.66 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000677,2026-01-26 15:22:35,供应商T公司,技术部,708524.15,金额异常,高,金额 708524.15 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000679,2026-02-25 08:07:06,供应商T公司,技术部,28241.36,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000693,2026-06-01 17:32:20,供应商M公司,行政部,5625.97,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000714,2026-03-24 15:43:01,供应商G公司,市场部,847185.91,金额异常,高,金额 847185.91 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000725,2026-05-05 17:19:19,供应商K公司,市场部,15316.6,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000727,2026-05-06 12:15:36,供应商M公司,行政部,639841.48,金额异常,高,金额 639841.48 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000730,2026-01-06 10:52:09,供应商M公司,技术部,7167.82,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000748,2026-01-14 22:26:00,供应商B公司,行政部,7300.47,异常时间,中,交易发生在周末或深夜（22:26）
TXN000756,2026-02-18 15:07:47,供应商F公司,市场部,109744.0,金额异常,高,金额 109744.00 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000763,2026-04-09 13:56:02,供应商M公司,财务部,103576.69,金额异常,高,金额 103576.69 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000789,2026-01-07 22:20:00,供应商O公司,技术部,12630.47,异常时间,中,交易发生在周末或深夜（22:20）
TXN000801,2026-04-01 16:21:15,供应商T公司,行政部,71247.13,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000802,2026-01-26 17:49:38,供应商L公司,技术部,12778.67,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000803,2026-04-02 15:12:55,供应商I公司,行政部,14438.62,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000804,2026-03-08 09:31:45,供应商F公司,技术部,31040.3,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000804,2026-03-08 09:31:45,供应商F公司,技术部,31040.3,异常时间,中,交易发生在周末或深夜（09:31）
TXN000805,2026-05-22 12:32:27,供应商I公司,采购部,8739.42,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000806,2026-01-07 10:52:09,供应商M公司,技术部,7167.82,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000807,2026-04-15 11:13:37,供应商F公司,采购部,24119.44,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000808,2026-02-21 08:13:28,供应商T公司,行政部,20411.29,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000808,2026-02-21 08:13:28,供应商T公司,行政部,20411.29,异常时间,中,交易发生在周末或深夜（08:13）
TXN000808,2026-02-21 08:13:28,供应商T公司,行政部,20411.29,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000809,2026-04-01 10:00:00,供应商K公司,采购部,7197.61,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000810,2026-04-02 10:00:00,供应商K公司,采购部,3727.61,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000811,2026-04-03 10:00:00,供应商K公司,采购部,3147.42,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000812,2026-04-04 10:00:00,供应商K公司,采购部,4593.44,异常时间,中,交易发生在周末或深夜（10:00）
TXN000812,2026-04-04 10:00:00,供应商K公司,采购部,4593.44,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000813,2026-04-05 10:00:00,供应商K公司,采购部,7864.48,异常时间,中,交易发生在周末或深夜（10:00）
TXN000813,2026-04-05 10:00:00,供应商K公司,采购部,7864.48,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000814,2026-04-06 10:00:00,供应商K公司,采购部,7805.98,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
