trans_id,trans_date,supplier,department,amount,payment_method,approver,is_urgent
TXN000024,2026-04-21 12:04:29,供应商C公司,采购部,4273.56,现金,赵强,是
TXN000025,2026-04-03 14:58:35,供应商R公司,财务部,8642.9,支票,刘洋,否
TXN000026,2026-02-11 11:03:04,供应商R公司,财务部,14599.43,现金,王芳,否
TXN000027,2026-05-07 12:39:04,供应商L公司,市场部,5319.88,现金,赵强,是
TXN000028,2026-02-18 11:19:26,供应商H公司,采购部,18043.82,支票,张明,是
TXN000029,2026-01-02 17:30:42,供应商C公司,采购部,8262.55,银行转账,张明,是
TXN000030,2026-03-06 11:54:30,供应商C公司,技术部,10579.2,银行转账,王芳,否
TXN000031,2026-02-17 12:26:57,供应商P公司,市场部,8255.5,银行转账,张明,是
TXN000032,2026-03-24 14:01:10,供应商N公司,市场部,58795.61,现金,张明,是
TXN000033,2026-03-20 12:21:04,供应商K公司,采购部,13216.25,银行转账,李华,是
TXN000034,2026-04-15 11:16:21,供应商O公司,财务部,5732.07,支票,李华,否
TXN000035,2026-06-29 14:43:46,供应商C公司,市场部,25797.58,现金,张明,是
TXN000036,2026-06-12 16:10:15,供应商A公司,采购部,5030.75,银行转账,李华,否
TXN000037,2026-06-25 13:41:18,供应商B公司,财务部,15789.35,支票,张明,否
TXN000038,2026-06-02 14:02:01,供应商O公司,行政部,2785.73,支票,刘洋,否
TXN000039,2026-02-12 14:33:34,供应商B公司,技术部,4616.77,现金,刘洋,是
TXN000040,2026-05-26 13:49:07,供应商K公司,采购部,15638.47,银行转账,刘洋,否
TXN000041,2026-04-14 11:13:37,供应商F公司,采购部,24119.44,现金,张明,是
TXN000042,2026-01-14 15:19:57,供应商T公司,采购部,15322.76,现金,李华,否
TXN000043,2026-04-23 17:57:30,供应商T公司,采购部,12179.16,现金,张明,否
TXN000044,2026-04-24 16:06:36,供应商S公司,技术部,10499.86,支票,王芳,是
TXN000045,2026-05-11 09:08:57,供应商K公司,财务部,4093.61,支票,赵强,是
TXN000046,2026-05-06 16:15:06,供应商J公司,市场部,7511.01,支票,张明,是
TXN000047,2026-04-20 15:44:25,供应商D公司,采购部,9241.77,现金,李华,否
TXN000048,2026-01-14 16:35:26,供应商H公司,行政部,31122.86,支票,李华,否
TXN000049,2026-01-21 10:44:53,供应商E公司,行政部,17586.64,银行转账,张明,是
TXN000050,2026-05-20 16:18:54,供应商K公司,财务部,3260.28,现金,王芳,否
TXN000051,2026-06-26 16:19:40,供应商B公司,采购部,17313.94,现金,赵强,否
TXN000052,2026-01-26 17:39:49,供应商I公司,财务部,9817.62,现金,赵强,否
TXN000053,2026-05-15 12:23:05,供应商E公司,技术部,7773.4,银行转账,王芳,是
TXN000054,2026-01-09 10:56:11,供应商J公司,行政部,21792.93,银行转账,王芳,是
TXN000055,2026-06-05 15:44:37,供应商F公司,市场部,785984.33,银行转账,李华,否
TXN000056,2026-05-11 09:59:36,供应商H公司,行政部,28142.16,银行转账,张明,否
TXN000057,2026-06-19 16:35:30,供应商B公司,市场部,6826.9,银行转账,李华,否
TXN000058,2026-06-09 15:58:36,供应商H公司,财务部,10431.97,银行转账,李华,否
TXN000059,2026-02-24 10:23:03,供应商C公司,行政部,17413.67,支票,刘洋,否
TXN000060,2026-04-15 10:56:47,供应商K公司,采购部,29156.59,银行转账,王芳,是
TXN000061,2026-01-22 09:11:32,供应商T公司,市场部,9105.74,支票,王芳,否
TXN000062,2026-04-10 15:24:15,供应商D公司,市场部,11515.77,现金,李华,否
TXN000063,2026-01-01 15:52:54,供应商Q公司,技术部,5513.37,现金,李华,否
TXN000064,2026-03-06 10:50:37,供应商T公司,行政部,5130.89,现金,张明,否
TXN000065,2026-03-02 09:22:15,供应商N公司,行政部,25591.63,支票,王芳,是
TXN000066,2026-05-26 14:33:35,供应商F公司,技术部,39536.99,现金,王芳,否
TXN000067,2026-04-17 17:34:20,供应商A公司,行政部,12611.85,支票,李华,否
TXN000068,2026-05-08 11:08:57,供应商K公司,市场部,29816.77,支票,赵强,是
TXN000069,2026-04-10 14:14:36,供应商P公司,财务部,17841.97,现金,张明,否
TXN000070,2026-01-20 22:11:00,供应商K公司,采购部,7973.7,银行转账,王芳,是
TXN000071,2026-04-03 14:17:45,供应商T公司,采购部,17838.54,支票,赵强,是
TXN000072,2026-02-17 17:02:59,供应商E公司,采购部,45726.32,银行转账,赵强,是
TXN000073,2026-02-04 11:41:28,供应商Q公司,市场部,12982.26,银行转账,刘洋,是
TXN000074,2026-04-01 13:23:39,供应商Q公司,技术部,46710.06,现金,王芳,否
TXN000075,2026-06-08 14:12:20,供应商Q公司,市场部,1642.88,现金,赵强,是
TXN000076,2026-05-25 17:41:07,供应商P公司,市场部,25784.32,支票,李华,否
TXN000077,2026-06-01 08:13:38,供应商Q公司,市场部,14323.23,现金,李华,否
TXN000078,2026-03-27 17:57:17,供应商C公司,行政部,10517.48,银行转账,王芳,否
TXN000079,2026-03-04 09:57:16,供应商R公司,采购部,14377.34,银行转账,李华,是
TXN000080,2026-03-16 17:04:25,供应商E公司,财务部,2724.24,银行转账,赵强,否
TXN000081,2026-03-06 14:01:08,供应商R公司,市场部,11206.65,支票,张明,是
TXN000082,2026-06-16 16:39:38,供应商S公司,市场部,17777.52,支票,张明,否
TXN000083,2026-05-27 15:26:54,供应商M公司,市场部,43578.33,现金,刘洋,是
TXN000084,2026-02-02 09:09:51,供应商O公司,财务部,8825.35,现金,刘洋,是
TXN000085,2026-06-26 10:35:41,供应商M公司,技术部,6996.78,现金,张明,是
TXN000086,2026-03-25 13:28:49,供应商E公司,市场部,8942.71,银行转账,张明,否
TXN000087,2026-02-11 10:24:30,供应商O公司,行政部,27786.95,支票,赵强,否
TXN000088,2026-05-27 08:37:11,供应商N公司,行政部,17378.71,银行转账,赵强,是
TXN000089,2026-05-07 13:53:27,供应商C公司,采购部,8744.6,银行转账,李华,是
TXN000090,2026-02-16 15:42:00,供应商E公司,市场部,20143.04,现金,张明,是
TXN000091,2026-04-01 15:12:55,供应商I公司,行政部,14438.62,银行转账,刘洋,是
TXN000092,2026-06-01 08:46:22,供应商F公司,行政部,28996.08,银行转账,刘洋,是
TXN000093,2026-06-30 16:55:40,供应商J公司,技术部,7618.67,现金,赵强,否
TXN000094,2026-05-15 10:29:47,供应商H公司,采购部,10279.12,现金,王芳,是
TXN000095,2026-03-25 12:23:10,供应商L公司,采购部,9762.59,现金,王芳,是
TXN000096,2026-04-06 12:30:19,供应商D公司,市场部,4143.05,支票,赵强,是
TXN000097,2026-02-04 12:51:27,供应商Q公司,行政部,16930.91,现金,刘洋,否
TXN000098,2026-04-01 14:28:07,供应商N公司,技术部,16462.56,支票,王芳,是
TXN000099,2026-06-11 15:29:13,供应商C公司,行政部,13414.49,支票,李华,否
TXN000100,2026-06-15 13:43:39,供应商K公司,财务部,11073.72,支票,李华,否
TXN000101,2026-02-20 12:00:34,供应商K公司,行政部,4305.74,现金,王芳,是
TXN000102,2026-05-28 13:18:12,供应商H公司,市场部,9542.24,现金,赵强,否
TXN000103,2026-01-19 09:39:36,供应商J公司,财务部,10156.09,支票,李华,否
TXN000104,2026-04-14 10:16:31,供应商L公司,市场部,7031.66,现金,刘洋,否
TXN000105,2026-03-10 15:33:21,供应商O公司,行政部,11742.52,支票,王芳,是
TXN000106,2026-05-21 09:25:43,供应商G公司,行政部,18457.77,银行转账,刘洋,是
TXN000107,2026-02-12 08:25:31,供应商P公司,行政部,60412.34,现金,刘洋,否
TXN000108,2026-03-12 09:49:39,供应商F公司,行政部,15362.15,银行转账,刘洋,是
TXN000109,2026-02-23 14:23:00,供应商B公司,采购部,16416.47,现金,王芳,是
TXN000110,2026-05-27 12:15:56,供应商P公司,采购部,12587.3,银行转账,刘洋,否
TXN000111,2026-04-02 11:32:53,供应商P公司,市场部,607631.33,支票,李华,是
TXN000112,2026-02-19 08:38:04,供应商P公司,采购部,13079.34,银行转账,赵强,否
TXN000113,2026-01-15 17:14:52,供应商S公司,采购部,14019.22,银行转账,李华,否
TXN000114,2026-02-18 12:39:13,供应商D公司,技术部,95855.17,支票,刘洋,是
TXN000115,2026-06-26 17:56:14,供应商O公司,行政部,11454.19,现金,赵强,否
TXN000116,2026-04-29 17:05:09,供应商D公司,财务部,17004.58,现金,李华,否
TXN000117,2026-04-02 13:57:03,供应商J公司,采购部,12993.84,银行转账,王芳,否
TXN000118,2026-03-30 11:56:21,供应商C公司,财务部,5245.14,支票,刘洋,是
TXN000119,2026-01-23 14:53:46,供应商R公司,财务部,33331.5,现金,李华,否
TXN000120,2026-02-02 13:15:22,供应商J公司,技术部,24380.68,现金,刘洋,否
TXN000121,2026-03-27 14:36:12,供应商D公司,市场部,25155.34,现金,王芳,否
TXN000122,2026-04-08 12:22:09,供应商R公司,市场部,6454.22,支票,张明,是
TXN000123,2026-04-28 13:30:34,供应商I公司,采购部,41037.25,银行转账,李华,是
TXN000124,2026-05-29 12:20:44,供应商F公司,市场部,4352.56,现金,赵强,否
TXN000125,2026-02-05 13:48:02,供应商S公司,市场部,21364.49,现金,赵强,是
TXN000126,2026-04-02 14:24:25,供应商L公司,市场部,77061.92,支票,王芳,是
TXN000127,2026-03-06 08:59:47,供应商N公司,市场部,6048.53,支票,赵强,是
TXN000128,2026-03-30 15:38:32,供应商C公司,行政部,8492.7,支票,王芳,是
TXN000129,2026-06-10 12:26:21,供应商A公司,技术部,14468.38,支票,赵强,是
TXN000130,2026-03-12 14:00:50,供应商T公司,市场部,8930.43,现金,赵强,是
TXN000131,2026-06-30 11:16:06,供应商J公司,市场部,3864.04,现金,赵强,是
TXN000132,2026-04-29 13:32:51,供应商H公司,财务部,14112.98,支票,刘洋,是
TXN000133,2026-01-19 10:23:10,供应商H公司,采购部,5711.04,支票,张明,是
TXN000134,2026-05-20 11:36:48,供应商J公司,技术部,19513.74,现金,王芳,否
TXN000135,2026-06-12 10:05:43,供应商P公司,市场部,6402.61,银行转账,赵强,是
TXN000136,2026-06-29 08:13:01,供应商T公司,技术部,46163.63,现金,李华,是
TXN000137,2026-06-03 17:41:44,供应商N公司,行政部,7139.5,现金,王芳,是
TXN000138,2026-04-06 09:53:21,供应商E公司,市场部,10325.28,现金,赵强,否
TXN000139,2026-05-29 11:14:39,供应商R公司,市场部,25611.94,支票,王芳,是
TXN000140,2026-02-16 16:54:52,供应商S公司,市场部,4990.59,银行转账,赵强,是
TXN000141,2026-03-16 08:39:57,供应商M公司,财务部,16026.0,支票,张明,是
TXN000142,2026-01-13 22:27:00,供应商Q公司,市场部,38014.17,银行转账,李华,否
TXN000143,2026-06-19 10:50:30,供应商E公司,采购部,3692.33,支票,王芳,否
TXN000144,2026-03-19 12:24:23,供应商C公司,行政部,15486.24,现金,刘洋,否
TXN000145,2026-06-22 15:45:50,供应商P公司,技术部,16447.13,银行转账,刘洋,是
TXN000146,2026-05-26 08:11:00,供应商C公司,市场部,24970.7,银行转账,张明,否
TXN000147,2026-02-02 15:18:57,供应商J公司,采购部,4966.34,银行转账,王芳,是
TXN000148,2026-01-29 14:24:15,供应商H公司,技术部,4645.41,支票,刘洋,是
TXN000149,2026-02-03 08:10:52,供应商F公司,采购部,20283.3,现金,赵强,是
TXN000150,2026-04-24 13:42:33,供应商E公司,财务部,16942.62,支票,王芳,否
TXN000151,2026-04-01 16:14:14,供应商J公司,技术部,16324.04,银行转账,张明,否
TXN000152,2026-03-09 10:27:09,供应商S公司,行政部,17626.5,现金,赵强,否
TXN000153,2026-02-16 09:27:31,供应商M公司,技术部,7754.12,支票,刘洋,否
TXN000154,2026-02-27 15:52:30,供应商A公司,市场部,16087.58,支票,张明,是
TXN000155,2026-06-25 15:58:54,供应商J公司,财务部,16889.68,现金,王芳,是
TXN000156,2026-05-13 13:00:52,供应商E公司,采购部,7544.08,现金,张明,否
TXN000157,2026-06-03 11:11:28,供应商O公司,采购部,59433.87,现金,王芳,是
TXN000158,2026-02-27 15:18:51,供应商K公司,市场部,19517.49,银行转账,李华,是
TXN000159,2026-03-13 09:01:10,供应商Q公司,技术部,5151.06,支票,李华,否
TXN000160,2026-06-10 11:19:59,供应商P公司,行政部,22589.55,现金,王芳,是
TXN000161,2026-01-06 23:43:00,供应商H公司,市场部,6125.74,现金,王芳,是
TXN000162,2026-04-15 12:36:29,供应商D公司,市场部,25076.03,支票,王芳,否
TXN000163,2026-01-22 08:55:45,供应商H公司,市场部,33754.75,银行转账,刘洋,否
TXN000164,2026-01-13 14:36:45,供应商O公司,行政部,6928.88,现金,赵强,是
TXN000165,2026-01-28 11:24:29,供应商B公司,采购部,28874.12,支票,赵强,是
TXN000166,2026-06-22 14:55:41,供应商R公司,财务部,18587.13,支票,赵强,否
TXN000167,2026-05-11 12:41:32,供应商R公司,市场部,25787.58,现金,李华,否
TXN000168,2026-05-08 12:09:26,供应商D公司,市场部,60927.16,现金,赵强,否
TXN000169,2026-01-07 16:28:08,供应商L公司,财务部,10978.45,支票,赵强,是
TXN000170,2026-06-16 10:41:12,供应商L公司,采购部,7310.09,现金,王芳,否
TXN000171,2026-03-19 15:27:54,供应商I公司,财务部,6557.66,银行转账,赵强,是
TXN000172,2026-02-11 12:29:05,供应商T公司,采购部,6955.94,银行转账,王芳,是
TXN000173,2026-01-14 15:44:47,供应商R公司,财务部,12560.58,现金,李华,是
TXN000174,2026-06-03 11:20:46,供应商T公司,采购部,17551.97,支票,李华,是
TXN000175,2026-06-05 09:20:38,供应商F公司,采购部,16669.78,现金,张明,是
TXN000176,2026-06-03 17:35:43,供应商H公司,技术部,25893.48,支票,张明,是
TXN000177,2026-05-25 08:39:24,供应商N公司,技术部,13499.41,银行转账,张明,否
TXN000178,2026-06-01 09:49:19,供应商L公司,技术部,42737.3,现金,张明,否
TXN000179,2026-02-13 08:29:48,供应商T公司,采购部,10810.51,现金,刘洋,否
TXN000180,2026-01-07 09:10:21,供应商B公司,市场部,117728.37,支票,赵强,是
TXN000181,2026-04-06 12:49:06,供应商O公司,采购部,22038.23,银行转账,王芳,是
TXN000182,2026-02-23 17:40:02,供应商T公司,技术部,6729.62,现金,王芳,否
TXN000183,2026-04-27 08:02:52,供应商Q公司,行政部,5671.94,支票,刘洋,否
TXN000184,2026-01-20 14:12:18,供应商D公司,技术部,19652.86,现金,李华,否
TXN000185,2026-03-30 09:27:29,供应商M公司,市场部,11172.71,现金,张明,否
TXN000186,2026-05-14 16:49:04,供应商P公司,采购部,23651.94,银行转账,张明,是
TXN000187,2026-01-26 14:22:55,供应商R公司,采购部,19508.2,现金,刘洋,否
TXN000188,2026-05-11 10:29:17,供应商D公司,市场部,12603.59,支票,赵强,是
TXN000189,2026-03-10 14:47:24,供应商D公司,技术部,6785.65,现金,李华,是
TXN000190,2026-01-22 08:20:03,供应商L公司,技术部,3976.36,支票,张明,否
TXN000191,2026-03-25 15:48:31,供应商R公司,技术部,9346.79,现金,刘洋,是
TXN000192,2026-04-29 14:07:19,供应商I公司,采购部,26505.8,银行转账,王芳,否
TXN000193,2026-03-10 11:53:15,供应商A公司,财务部,15855.55,银行转账,刘洋,否
TXN000194,2026-04-14 08:13:42,供应商G公司,市场部,4931.55,支票,赵强,否
TXN000195,2026-05-21 10:52:51,供应商K公司,技术部,15345.0,现金,张明,是
TXN000196,2026-03-24 16:03:07,供应商P公司,技术部,18183.21,支票,赵强,否
TXN000197,2026-01-23 10:25:40,供应商L公司,市场部,6587.4,银行转账,王芳,否
TXN000198,2026-04-13 15:41:27,供应商J公司,采购部,15108.01,银行转账,赵强,是
TXN000199,2026-02-11 08:25:18,供应商E公司,行政部,13996.56,支票,王芳,是
TXN000200,2026-05-26 09:20:17,供应商N公司,财务部,5354.13,银行转账,赵强,是
TXN000201,2026-04-08 11:23:29,供应商R公司,行政部,17787.12,银行转账,赵强,是
TXN000202,2026-03-31 14:36:36,供应商C公司,行政部,20923.49,现金,赵强,否
TXN000203,2026-05-05 15:16:35,供应商N公司,行政部,31775.19,银行转账,赵强,是
TXN000204,2026-03-05 09:31:45,供应商F公司,技术部,31040.3,支票,王芳,是
TXN000205,2026-02-17 13:56:13,供应商N公司,技术部,4437.58,支票,刘洋,是
TXN000206,2026-06-19 08:56:16,供应商J公司,行政部,6309.05,银行转账,王芳,是
TXN000207,2026-04-10 11:01:28,供应商D公司,技术部,20171.54,现金,李华,否
TXN000208,2026-03-10 12:14:36,供应商E公司,财务部,20151.39,银行转账,李华,否
TXN000209,2026-05-28 17:54:23,供应商C公司,财务部,20171.75,现金,赵强,否
TXN000210,2026-05-13 14:18:43,供应商S公司,技术部,291322.21,支票,王芳,是
TXN000211,2026-03-27 17:26:35,供应商C公司,市场部,21093.34,支票,王芳,否
TXN000212,2026-03-10 16:10:10,供应商Q公司,采购部,33138.55,支票,赵强,否
TXN000213,2026-01-08 15:15:44,供应商B公司,行政部,28658.39,支票,张明,是
TXN000214,2026-04-22 08:06:47,供应商G公司,行政部,22496.45,现金,赵强,是
TXN000215,2026-01-13 08:21:08,供应商O公司,采购部,10381.54,支票,张明,是
TXN000216,2026-02-18 10:34:09,供应商O公司,市场部,24518.31,现金,刘洋,是
TXN000217,2026-03-17 13:29:31,供应商N公司,行政部,7199.31,现金,刘洋,是
TXN000218,2026-06-03 14:03:50,供应商K公司,采购部,11053.97,支票,张明,否
TXN000219,2026-02-25 12:13:15,供应商I公司,技术部,9060.77,银行转账,王芳,是
TXN000220,2026-04-24 11:45:46,供应商E公司,行政部,14264.07,支票,赵强,是
TXN000221,2026-03-02 10:45:22,供应商R公司,市场部,85112.3,现金,王芳,是
TXN000222,2026-05-11 10:58:07,供应商Q公司,采购部,2999.46,现金,赵强,否
TXN000223,2026-03-12 17:49:39,供应商J公司,财务部,23132.83,银行转账,王芳,否
TXN000224,2026-06-03 08:54:22,供应商D公司,技术部,3676.91,现金,刘洋,是
TXN000225,2026-05-01 08:14:07,供应商E公司,技术部,9158.65,支票,李华,是
TXN000226,2026-02-05 10:48:11,供应商T公司,财务部,31925.5,现金,赵强,是
TXN000227,2026-05-12 16:04:46,供应商H公司,市场部,14064.71,现金,王芳,否
TXN000228,2026-03-02 10:13:29,供应商P公司,财务部,5640.93,支票,刘洋,否
TXN000229,2026-06-01 10:19:15,供应商M公司,技术部,7538.34,现金,赵强,是
TXN000230,2026-04-28 17:56:09,供应商E公司,行政部,23009.86,银行转账,赵强,否
TXN000231,2026-05-19 11:22:07,供应商Q公司,采购部,7448.04,支票,张明,是
TXN000232,2026-06-11 16:57:30,供应商N公司,采购部,15885.58,银行转账,赵强,否
TXN000233,2026-01-06 12:17:31,供应商N公司,采购部,13855.78,支票,刘洋,否
TXN000234,2026-01-20 13:45:38,供应商K公司,财务部,7932.47,银行转账,张明,否
TXN000235,2026-06-11 10:58:09,供应商P公司,财务部,74247.19,现金,赵强,否
TXN000236,2026-01-02 08:28:20,供应商C公司,采购部,22184.19,支票,李华,是
TXN000237,2026-05-22 13:09:35,供应商T公司,技术部,2643.57,支票,张明,否
TXN000238,2026-02-16 11:29:01,供应商J公司,采购部,15508.81,银行转账,李华,否
TXN000239,2026-05-05 09:43:51,供应商T公司,市场部,7868.09,银行转账,张明,否
TXN000240,2026-04-15 10:11:30,供应商A公司,技术部,26421.85,现金,李华,是
TXN000241,2026-03-25 16:23:53,供应商A公司,技术部,7086.76,支票,李华,否
TXN000242,2026-02-06 16:56:45,供应商C公司,技术部,12188.05,支票,张明,是
TXN000243,2026-04-02 14:59:17,供应商B公司,市场部,20010.05,支票,王芳,是
TXN000244,2026-03-11 16:10:41,供应商C公司,行政部,26704.95,银行转账,张明,否
TXN000245,2026-03-10 17:49:57,供应商R公司,行政部,5114.13,现金,李华,否
TXN000246,2026-02-05 17:28:37,供应商E公司,采购部,10223.04,现金,赵强,是
TXN000247,2026-01-20 22:27:00,供应商B公司,财务部,9136.6,银行转账,王芳,否
TXN000248,2026-03-19 15:51:30,供应商R公司,市场部,7921.51,支票,张明,是
TXN000249,2026-03-11 15:37:12,供应商B公司,行政部,54850.33,支票,张明,否
TXN000250,2026-05-25 16:03:53,供应商O公司,市场部,18471.52,支票,李华,否
TXN000251,2026-05-15 17:16:22,供应商P公司,行政部,4872.16,现金,王芳,是
TXN000252,2026-05-22 12:26:40,供应商N公司,采购部,27841.68,支票,刘洋,是
TXN000253,2026-02-27 09:03:02,供应商K公司,采购部,72964.26,银行转账,王芳,否
TXN000254,2026-04-28 08:25:13,供应商N公司,财务部,30514.96,现金,赵强,否
TXN000255,2026-01-09 13:23:21,供应商L公司,技术部,3962.0,支票,王芳,是
TXN000256,2026-05-11 15:56:37,供应商M公司,行政部,9068.96,现金,李华,是
TXN000257,2026-03-27 10:02:00,供应商B公司,财务部,36810.15,银行转账,李华,否
TXN000258,2026-03-12 15:44:38,供应商M公司,技术部,7584.52,银行转账,刘洋,是
TXN000259,2026-05-29 12:13:53,供应商C公司,技术部,19054.44,银行转账,刘洋,否
TXN000260,2026-03-19 14:58:23,供应商K公司,行政部,24827.5,银行转账,张明,是
TXN000261,2026-02-06 11:02:48,供应商P公司,技术部,6364.28,支票,刘洋,是
TXN000262,2026-04-06 17:09:31,供应商G公司,采购部,12738.44,银行转账,张明,否
TXN000263,2026-03-04 09:23:13,供应商L公司,采购部,999.23,现金,刘洋,否
TXN000264,2026-01-14 22:35:00,供应商J公司,财务部,5886.93,现金,李华,否
TXN000265,2026-02-09 08:38:11,供应商E公司,财务部,10915.57,支票,张明,否
TXN000266,2026-04-22 11:00:21,供应商L公司,市场部,4923.49,现金,李华,是
TXN000267,2026-03-02 09:23:57,供应商M公司,市场部,49312.31,现金,赵强,否
TXN000268,2026-01-15 15:42:11,供应商E公司,行政部,4255.16,现金,张明,否
TXN000269,2026-05-13 09:32:15,供应商Q公司,行政部,9395.3,银行转账,刘洋,是
TXN000270,2026-01-26 09:20:13,供应商N公司,技术部,14832.74,银行转账,张明,是
TXN000271,2026-03-09 12:35:03,供应商Q公司,行政部,42320.15,银行转账,王芳,是
TXN000272,2026-05-04 15:34:49,供应商R公司,行政部,4235.73,银行转账,王芳,是
TXN000273,2026-02-03 13:51:09,供应商T公司,技术部,33878.33,支票,刘洋,是
TXN000274,2026-06-10 13:52:47,供应商A公司,采购部,13469.54,银行转账,刘洋,否
TXN000275,2026-04-22 10:21:09,供应商N公司,技术部,6092.37,现金,张明,否
TXN000276,2026-02-26 13:58:03,供应商J公司,市场部,19335.2,银行转账,赵强,否
TXN000277,2026-03-30 09:40:07,供应商C公司,采购部,15666.0,银行转账,赵强,否
TXN000278,2026-04-01 12:27:26,供应商G公司,行政部,8265.34,现金,李华,否
TXN000279,2026-06-17 14:48:41,供应商K公司,行政部,14126.98,支票,李华,否
TXN000280,2026-04-20 09:29:03,供应商D公司,行政部,9815.81,银行转账,赵强,是
TXN000281,2026-02-18 11:23:08,供应商E公司,采购部,14629.77,银行转账,王芳,否
TXN000282,2026-03-23 12:38:56,供应商H公司,财务部,22690.57,支票,刘洋,否
TXN000283,2026-05-29 12:24:12,供应商F公司,市场部,47515.6,现金,赵强,否
TXN000284,2026-03-18 16:38:29,供应商Q公司,市场部,4962.91,银行转账,李华,否
TXN000285,2026-04-07 10:22:26,供应商T公司,市场部,73601.94,支票,刘洋,是
TXN000286,2026-01-27 08:10:55,供应商I公司,行政部,2802.68,支票,王芳,是
TXN000287,2026-01-07 22:21:00,供应商G公司,行政部,11832.11,现金,王芳,是
TXN000288,2026-03-17 08:30:57,供应商Q公司,市场部,21389.46,现金,王芳,是
TXN000289,2026-06-04 16:29:22,供应商K公司,技术部,16727.23,支票,李华,是
TXN000290,2026-04-08 10:31:55,供应商B公司,采购部,8118.01,银行转账,李华,否
TXN000291,2026-01-28 11:25:35,供应商K公司,技术部,680278.42,支票,李华,否
TXN000292,2026-04-14 16:53:00,供应商P公司,技术部,9005.58,支票,赵强,是
TXN000293,2026-03-06 15:41:18,供应商D公司,市场部,8337.41,现金,王芳,是
TXN000294,2026-04-03 11:45:02,供应商I公司,技术部,26362.07,现金,李华,是
TXN000295,2026-04-24 15:24:56,供应商P公司,财务部,17776.14,现金,刘洋,否
TXN000296,2026-05-13 12:25:02,供应商H公司,采购部,7674.61,现金,张明,是
TXN000297,2026-03-23 15:39:27,供应商E公司,市场部,27437.88,现金,李华,否
TXN000298,2026-05-22 13:56:22,供应商B公司,财务部,17083.01,现金,李华,否
TXN000299,2026-04-13 08:54:03,供应商M公司,行政部,25598.52,银行转账,赵强,否
TXN000300,2026-04-17 09:49:03,供应商L公司,行政部,22108.18,现金,赵强,是
TXN000301,2026-02-24 12:15:50,供应商R公司,行政部,6882.96,银行转账,王芳,否
TXN000302,2026-02-10 13:59:04,供应商P公司,行政部,8534.36,支票,王芳,否
TXN000303,2026-04-22 16:35:44,供应商R公司,市场部,24290.36,支票,王芳,是
TXN000304,2026-02-26 17:36:26,供应商B公司,行政部,21770.18,现金,张明,否
TXN000305,2026-05-08 17:03:04,供应商I公司,市场部,13138.19,银行转账,李华,否
TXN000306,2026-04-20 11:11:37,供应商I公司,财务部,14674.43,银行转账,刘洋,是
TXN000307,2026-02-17 09:56:10,供应商B公司,技术部,37128.19,银行转账,李华,是
TXN000308,2026-03-06 11:16:47,供应商P公司,采购部,8322.71,现金,李华,是
TXN000309,2026-06-30 17:55:06,供应商F公司,市场部,20695.63,现金,赵强,否
TXN000310,2026-05-07 15:43:48,供应商G公司,行政部,11364.46,支票,王芳,是
TXN000311,2026-06-26 15:17:34,供应商C公司,技术部,11224.51,银行转账,刘洋,是
TXN000312,2026-03-23 11:29:06,供应商F公司,采购部,32177.46,支票,赵强,是
TXN000313,2026-06-19 17:10:09,供应商J公司,采购部,25856.91,银行转账,王芳,是
